loss,mean_absolute_error,mean_squared_error
0.0004258473636582494,0.007711238227784634,0.0004253632796462625
5.284371582092717e-05,0.003356478875502944,5.279178367345594e-05
4.038017868879251e-05,0.003006475744768977,4.03391350118909e-05
3.046188248845283e-05,0.0024682185612618923,3.060682865907438e-05
2.9899751098128036e-05,0.0028036448638886213,2.9888187782489695e-05
2.24968753173016e-05,0.002011894015595317,2.249389399366919e-05
2.080871672660578e-05,0.0020062706898897886,2.0798794139409438e-05
2.190325722040143e-05,0.002233476610854268,2.1879879568587057e-05
2.3636725018150173e-05,0.0024318848736584187,2.36162704823073e-05
2.2999576685833745e-05,0.002283979207277298,2.2981073925620876e-05
